transaction_id,user_name,age,country,product_category,purchase_amount,payment_method,transaction_date
4083,Isabella White,69,Mexico,Electronics,945.22,Cash on Delivery,2023-03-09
5667,Emma Allen,58,Japan,Grocery,311.24,Cash on Delivery,2023-03-09
39326,Emma Harris,22,India,Beauty,227.79,UPI,2023-03-09
39628,Isabella White,35,Brazil,Beauty,664.33,Net Banking,2023-03-09
1156,Emma Thompson,70,Mexico,Electronics,10.5,Debit Card,2023-03-09
19819,Liam White,24,Japan,Home & Kitchen,191.81,UPI,2023-03-09
39778,Liam Harris,35,Australia,Home & Kitchen,864.91,Cash on Delivery,2023-03-09
11360,Emma Rodriguez,45,Germany,Home & Kitchen,141.83,UPI,2023-03-09
34385,Sophia Allen,29,Australia,Sports,758.45,Credit Card,2023-03-09
28471,Emma White,27,Mexico,Toys,283.87,PayPal,2023-03-09
11558,James White,22,Mexico,Clothing,607.14,Cash on Delivery,2023-03-09
1350,Sophia Anderson,39,Brazil,Beauty,370.36,UPI,2023-03-09
20433,Sophia Harris,64,India,Clothing,142.46,Credit Card,2023-03-09
41069,Isabella Harris,46,Mexico,Grocery,565.71,Net Banking,2023-03-09
27302,Ava White,42,Japan,Sports,736.91,Credit Card,2023-03-09
12310,Emma Lewis,26,Canada,Grocery,882.96,Debit Card,2023-03-09
12418,Isabella Harris,37,Brazil,Sports,883.64,Cash on Delivery,2023-03-09
41727,Sophia Lewis,41,Japan,Grocery,688.98,Net Banking,2023-03-09
1033,Oliver Clark,19,Australia,Beauty,934.05,Cash on Delivery,2023-03-09
38920,Liam White,58,Australia,Sports,880.47,Net Banking,2023-03-09
16314,Noah Walker,63,Canada,Clothing,149.76,Cash on Delivery,2023-03-09
92,Liam Thompson,55,USA,Sports,148.28,UPI,2023-03-09
49546,Elijah White,57,Canada,Grocery,988.56,PayPal,2023-03-09
49510,Oliver Walker,70,Canada,Home & Kitchen,787.31,Debit Card,2023-03-09
49509,Emma Rodriguez,49,Canada,Clothing,134.41,Debit Card,2023-03-09
35994,Noah Walker,40,UK,Beauty,894.69,Cash on Delivery,2023-03-09
33114,Oliver Clark,47,France,Grocery,347.83,PayPal,2023-03-09
49362,Oliver Harris,49,Germany,Toys,794.29,Cash on Delivery,2023-03-09
32739,Isabella Rodriguez,48,Brazil,Grocery,58.23,Net Banking,2023-03-09
36532,Ava Harris,23,USA,Electronics,442.44,Debit Card,2023-03-09
